id;libelle;description;date_debut;date_fin;lien_ressource_vod;lien_ressource_tv;statut
1;synthesize explicit Keyboard;Rustic Frozen Shoes Orchestrator;2020-01-24;2020-01-24;Berkshire Keyboard;parallelism Buckinghamshire;ACTIVE
2;fault-tolerant Inlet;dedicated;2020-01-23;2020-01-24;Money Market Account bluetooth;Way Movies;DESACTIVE
3;Paradigm Aruban Guilder Functionality;Berkshire programming;2020-01-24;2020-01-23;content;Gorgeous Steel Chicken Checking Account orchid;DESACTIVE
4;Iceland Gibraltar Pound Home Loan Account;programming matrix Cheese;2020-01-24;2020-01-24;Belgium;Dynamic invoice Practical Concrete Shoes;ACTIVE
5;copy;Music sensor connect;2020-01-23;2020-01-24;Wooden;dynamic;DESACTIVE
6;Credit Card Account;Philippines payment Credit Card Account;2020-01-23;2020-01-24;Dynamic Cheese cyan;front-end bluetooth tan;ACTIVE
7;high-level expedite;Mongolia back up;2020-01-24;2020-01-23;Falkland Islands (Malvinas) Auto Loan Account;Liaison Optional Future;DESACTIVE
8;Rustic;Granite Beauty;2020-01-24;2020-01-23;Grocery;invoice RAM;DESACTIVE
9;JBOD quantifying knowledge base;Aruba national input;2020-01-24;2020-01-24;Brunei Dollar Quality backing up;Saint Lucia navigating;DESACTIVE
10;Configuration Kuwaiti Dinar;JBOD calculating Bypass;2020-01-23;2020-01-24;AI Handcrafted;eyeballs deposit programming;ACTIVE
