id;libelle;description;lien;code;path_logo;resume
1;Berkshire bypassing Implemented;bandwidth THX;scale;43831940-6b5a-421c-b137-77f8cb4546a2;e-markets Credit Card Account wireless;Zimbabwe harness Awesome Soft Pizza
2;Devolved;Communications;Rupiah Bike SQL;d61bedc9-18e8-4206-8da8-1289e8a1b8dd;JSON Avon Berkshire;Baby monitoring
3;bandwidth quantifying Grocery;tan;Tasty Concrete Car Tactics Towels;0e3addf7-1b8b-4f4d-bf6a-8990cf48908b;Valley;Electronics Rustic even-keeled
4;calculating;deposit aggregate Plaza;Strategist Cheese Refined Plastic Pants;9f997579-792b-4fbe-86e8-f846bdd52fd0;Arkansas Mouse Health;policy
5;Total;Borders generate Sports;Legacy Refined;71f90754-f7cb-47ea-9a19-6596fd760acd;Fantastic Soft Hat Function-based;Shirt action-items disintermediate
6;driver Buckinghamshire copy;Balanced reboot;monitor Implementation Licensed;78ff5d9b-9972-4002-badb-1e968179f58b;Home Loan Account bricks-and-clicks;Japan success Implementation
7;Ohio;South Carolina Associate;International Digitized;ee97e3d0-315d-42b9-8cdf-6666083d6ef7;Product bypass;payment UIC-Franc
8;Plaza;Liberian Dollar Small;sexy Uganda Shilling;0eca2a1c-8983-4003-9347-b1713aec1f9d;Movies service-desk Buckinghamshire;Refined Garden
9;Fantastic Directives Oklahoma;auxiliary virtual;deposit Credit Card Account;2a7daf5e-c726-424e-ac0b-4a698c565a2f;withdrawal Port;Home Loan Account Chicken
10;Wooden Front-line Bike;Tools Chicken Grocery;green;fdc22117-b0c7-4cef-ac73-1da026c3be30;internet solution;Awesome Frozen Towels
